AI responses may be less accurate in languages other than English.,"Отговорите на ИИ може да са по-малко точни на езици, различни от английски."
Dismiss,Затвори
Settings,Настройки
Close,Затвори
Chat,Чат
Save,Запази
— Select —,— Избери —
Terms of Use,Условия за ползване
"Before using Jana, please review and accept the following terms:","Преди да използвате Jana, моля прегледайте и приемете следните условия:"
"Jana is an AI assistant. AI-generated responses may be inaccurate, incomplete, or outdated. You are responsible for verifying all information before acting on it.","Jana е ИИ асистент. Отговорите, генерирани от ИИ, могат да бъдат неточни, непълни или остарели. Вие носите отговорност за проверката на цялата информация, преди да действате по нея."
"If you bring your own API keys (BYOK), you are responsible for all costs and usage with your LLM provider. Jana does not manage, limit, or monitor your provider billing.","Ако използвате собствени API ключове (BYOK), Вие носите отговорност за всички разходи и използване при Вашия LLM доставчик. Jana не управлява, ограничава или наблюдава фактурирането на Вашия доставчик."
"Jana does not guarantee the accuracy, reliability, or suitability of AI responses for any particular purpose.","Jana не гарантира точността, надеждността или пригодността на ИИ отговорите за каквато и да е конкретна цел."
Your conversations are stored on this Frappe site. Data sent to cloud LLM providers is subject to their data handling policies.,Вашите разговори се съхраняват на този Frappe сайт. Данните, изпратени до облачни LLM доставчици, подлежат на техните политики за обработка на данни.
Jana Community Edition is licensed under AGPL-3.0. See the full license for terms and conditions.,Jana Community Edition е лицензиран под AGPL-3.0. Вижте пълния лиценз за условията.
I have read and agree to the Terms of Use,Прочетох и приемам Условията за ползване
View Full Terms of Use,Преглед на пълните Условия за ползване
Accept and Continue,Приемам и продължавам
You must accept the Terms of Use to continue.,Трябва да приемете Условията за ползване, за да продължите.
Jana responds in your language. Complex technical content may vary in quality across languages.,Jana отговаря на Вашия език. Сложното техническо съдържание може да варира по качество между различните езици.
Could not save acceptance. Please try again.,Приемането не можа да бъде запазено. Моля, опитайте отново.
